Top1,Top1Summ1,Top1Summ2,Top1Keystone,Top1Xp,Top1Gold,Top2,Top2Summ1,Top2Summ2,Top2Keystone,Top2Xp,Top2Gold,Jungle1,Jungle1Summ1,Jungle1Summ2,Jungle1Keystone,Jungle1Xp,Jungle1Gold,Jungle2,Jungle2Summ1,Jungle2Summ2,Jungle2Keystone,Jungle2Xp,Jungle2Gold,Mid1,Mid1Summ1,Mid1Summ2,Mid1Keystone,Mid1Xp,Mid1Gold,Mid2,Mid2Summ1,Mid2Summ2,Mid2Keystone,Mid2Xp,Mid2Gold,Ad1,Ad1Summ1,Ad1Summ2,Ad1Keystone,Ad1Xp,Ad1Gold,Ad2,Ad2Summ1,Ad2Summ2,Ad2Keystone,Ad2Xp,Ad2Gold,Supp1,Supp1Summ1,Supp1Summ2,Supp1Keystone,Supp1Xp,Supp1Gold,Supp2,Supp2Summ1,Supp2Summ2,Supp2Keystone,Supp2Xp,Supp2Gold
17,4,12,8112,451.59999999999997,288.2,86,4,14,8010,446.40000000000003,270.2,64,11,4,8010,334.6,268.7,31,11,4,8437,340.8,345.8,34,4,1,8230,439.20000000000005,263.9,238,4,14,8112,443.5,239.2,202,4,7,8128,305.79999999999995,222.3,29,7,4,8008,317.3,237.7,161,4,14,8229,212.79999999999998,176,555,4,7,9923,278.6,216.10000000000002
62,4,12,8010,562.1,369.40000000000003,526,12,4,8437,462.7,242.1,77,4,11,8010,477.1,351.3,35,14,11,9923,330.79999999999995,362.1,236,4,14,8005,383.9,273.8,245,12,4,8112,460.7,288,50,3,4,8010,285.7,213.5,202,4,7,8021,312.6,325.1,267,14,4,8214,236.3,187.5,40,4,3,8229,281.5,190.8
86,14,4,8437,479.79999999999995,251.3,83,4,12,8437,451.3,194.9,203,4,11,8005,288.79999999999995,345.7,78,11,4,9923,211.8,262,101,4,21,8229,291.20000000000005,339.5,99,4,14,8229,385.6,284.5,236,7,4,8005,235.29999999999998,156.7,74,14,4,8214,295.2,371.1,111,4,14,8439,125.60000000000001,149.5,89,14,4,8437,247.79999999999998,386
81,12,4,8010,481.1,314.4,875,14,4,9923,364.5,205.2,121,4,11,8128,370.9,355.9,11,11,4,9923,384.4,280.29999999999995,68,14,4,8229,470.6,322.70000000000005,518,14,4,8112,367.5,220.7,202,7,4,8128,297.2,316.9,222,4,7,8021,343.1,280.70000000000005,89,4,14,8439,297.1,199.39999999999998,50,4,14,8128,316.4,275.2
238,14,4,8010,480.8,332.3,420,4,12,8010,434,276.8,36,4,11,8021,358.20000000000005,300.1,254,11,4,8112,374.70000000000005,296.20000000000005,103,14,4,8112,417.8,205.39999999999998,13,12,4,8230,534.9,365,21,7,4,8229,289.1,318.9,145,7,4,9923,306,345.3,89,4,14,8439,250.1,188.3,63,4,14,8128,250.3,275.6
58,4,12,8005,487,340.9,23,14,4,8008,409,319.4,36,11,4,8021,396.5,371,5,11,4,9923,332.29999999999995,255.6,81,4,14,8010,511.20000000000005,324.4,38,4,12,8021,401.9,178.10000000000002,222,4,7,8008,272.7,332.70000000000005,22,7,4,8008,302.3,226.9,89,3,4,8439,287.6,293.2,99,4,14,8229,204.9,209.60000000000002
875,14,4,8010,365.7,234.5,516,12,4,8437,466.20000000000005,304.4,28,4,11,8112,237.5,213.5,104,4,11,8230,480.2,457.6,105,14,4,8112,454.8,290.3,112,21,4,8230,407,325.6,21,7,4,8229,286.4,233.70000000000002,202,7,4,8128,338.7,434.6,63,4,14,8128,252.9,194.1,57,14,4,8439,284.6,214.10000000000002
39,14,4,8010,421.3,305.5,17,4,14,8437,488.1,362,121,11,4,8128,337.8,315.4,11,11,4,9923,389.3,340.8,81,7,4,8010,463.3,255.8,777,14,4,8010,298.6,253.9,236,7,4,8005,296.3,364.3,145,4,7,9923,305.1,233.3,412,4,14,8439,263.4,295.4,53,4,14,8439,272.5,237.60000000000002
75,4,12,8437,397.9,194.6,54,4,14,8112,454,279.3,121,4,11,8010,257.1,263.70000000000005,203,11,3,8351,372.4,338,99,14,4,8229,401.1,210.5,68,4,12,8112,467,271.1,236,4,7,8005,309.20000000000005,328.4,202,4,7,8128,328.9,291.5,53,4,14,8439,279.1,181,25,4,3,8229,290.5,220.39999999999998
114,12,4,8010,470.1,244.7,10,7,4,8005,419.6,154.1,11,21,11,8010,315.6,244.4,120,4,11,8230,267.7,242.6,61,4,12,8230,394.4,192,34,12,4,8229,475.9,206.7,67,4,7,9923,345.5,360.4,222,4,7,8008,293.9,262.4,12,4,3,8439,222.3,197.39999999999998,53,14,4,8439,302.5,294.8
3,4,14,8229,421.3,265.70000000000005,69,21,4,8010,426.9,254.5,80,4,11,8010,359.9,286.4,32,4,11,8010,327.6,264.8,23,4,14,8008,522.5,406.9,11,14,4,9923,335.9,205.89999999999998,202,7,4,8128,321.6,217.10000000000002,51,4,7,8021,312,272.9,16,3,4,8214,203,178.2,26,4,14,8214,258.6,191.6
41,12,4,8437,397.9,249,62,14,4,8010,392.70000000000005,234.7,245,4,11,8128,269.7,242.7,64,4,11,8010,182.5,186.3,90,14,4,8214,453.70000000000005,255.89999999999998,84,4,14,8112,406.9,216.8,18,7,4,9923,301.6,326.7,29,21,4,8008,299.5,284.7,89,3,4,8439,276.1,176.4,99,7,4,8214,284.1,202.7
85,14,4,8008,487.3,258.1,58,12,4,8005,456.4,235.70000000000002,30,11,4,8229,300.1,256.5,141,11,4,8010,287,277.2,25,14,4,8214,469.5,235.5,127,4,14,8229,465,224.39999999999998,222,7,4,8008,284.8,200.7,74,7,4,8229,398.6,390.4,161,14,4,8229,240.89999999999998,245.6,111,3,4,8439,311.7,209
875,12,4,8010,416,215.7,122,6,4,8010,468.6,282.2,11,11,4,8010,253.6,256.8,203,11,4,9923,299.4,235.9,8,14,4,8230,455.2,232.6,43,14,4,8128,471.4,271.5,81,4,7,8010,260,224.9,18,7,4,8010,266,234.39999999999998,53,14,4,8439,223.8,148.5,35,4,14,8229,249.10000000000002,190.1
164,4,12,8437,450.7,301.3,75,12,4,8437,424.20000000000005,217,77,4,11,8005,321.5,325.6,20,4,11,8230,428.40000000000003,324.3,54,7,4,8229,367.79999999999995,205.2,34,14,4,8112,466.1,277.20000000000005,22,7,4,8008,331.5,244.5,202,7,4,8128,320,389.20000000000005,267,14,4,8214,253.6,186.3,80,14,4,8005,259.9,221.9
